Name,Current price,Change(%),Open,High,Low,Volume
T STAMP INC.,0.365,102.78,0.3609,0.4859,0.3119,560179258
ELEVAI LABS INC.,0.0125,121.38,0.0146,0.0148,0.0125,325823948
NVIDIA CORP.,136.92,0.66,137.7,139.3,135.67,190287654
RIGETTI COMPUTING INC.,2.2,120.0,2.38,2.68,2.1,126719193
CIMG INC.,1.6,153.97,0.69,1.91,0.68,114511336
SUPER MICRO COMPUTER INC.,34.43,110.36,37.59,37.67,34.03,95312995
MARA HOLDINGS INC.,24.97,15.49,25.1,27.91,24.65,91188056
VSEE HEALTH INC.,2.03,18.02,1.92,3.51,1.8,87714297
RIVIAN AUTOMOTIVE INC.,11.55,10.43,12.24,12.27,11.22,81743600
ZENATECH INC.,10.3,60.44,12.19,12.39,8.0,80371382
INTEL CORP.,24.05,13.3,24.95,24.99,23.81,69613557
BLUE STAR FOODS,0.37,54.81,0.2488,0.477,0.2255,67064096
TESLA INC.,338.23,10.11,341.0,346.96,335.66,62295857
THOUGHTWORKS HOLDING INC.,4.47,0.0,4.47,4.53,4.44,52185666
LUCID GROUP INC.,2.13,11.84,2.19,2.22,2.12,51932460
OPENDOOR TECHNOLOGIES INC,2.2,13.51,2.18,2.27,2.13,51618935
TOYO CO. LTD,5.41,86.55,5.52,5.99,4.45,49091025
BITFARMS LTD.,1.97,13.9,1.98,2.09,1.94,48087423
MICROSTRATEGY INC.,353.69,112.33,382.78,403.0,338.67,47891004
APPLE INC.,235.06,0.94,233.33,235.57,233.33,45986189
QUANTUM COMPUTING INC.,6.65,113.64,6.42,7.3,6.14,45862311
PLUG POWER INC.,2.07,15.91,2.17,2.21,2.04,45523794
AMAZON.COM INC.,207.86,3.18,201.9,208.0,201.79,41673737
ROCKET LAB USA INC.,25.44,5.74,23.72,26.71,23.62,41464099
SOUNDHOUND AI INC.,7.61,15.23,7.9,8.37,7.55,40536665
PALLADYNE AI CORP.,7.21,63.49,4.24,7.37,4.11,39615622
SOFI TECHNOLOGIES INC.,15.49,11.34,15.5,15.84,15.24,38184378
CLEANSPARK INC.,13.03,112.84,14.0,14.45,13.01,37181119
HESAI GROUP ADS,6.86,44.42,5.47,8.55,5.11,36501614
XTI AEROSPACE INC.,0.0417,111.28,0.0439,0.0456,0.0406,34942725
SPECTRAL AI INC.,1.45,10.69,1.65,1.74,1.34,33998747
SRIVARU HOLDING LTD.,0.0238,0.42,0.0239,0.0257,0.0232,33973335
CASSAVA SCIENCES INC.,3.83,110.93,4.32,4.33,3.65,33142369
ADVANCED MICRO DEVICES INC.,137.72,12.42,142.55,142.8,136.62,32092378
POSEIDA THERAPEUTICS INC.,9.38,227.97,9.28,9.41,9.25,30136899
ASP ISOTOPES INC.,5.85,123.53,7.94,8.31,5.28,28925963
WARNER BROS. DISCOVERY,10.11,12.79,10.35,10.43,10.07,27346620
EYENOVIA INC.,0.109,22.61,0.089,0.1148,0.0851,27120747
DEVVSTREAM CORP.,0.725,40.07,0.6101,0.769,0.5501,26881144
BIT DIGITAL INC. ORD.,3.74,112.0,4.05,4.11,3.69,26720131
TERAWULF INC.,6.57,16.01,6.93,7.1,6.44,26507404
RIOT PLATFORMS INC.,11.17,17.38,11.59,11.98,11.02,26449899
LESLIE S INC.,2.45,130.2,2.78,2.9,2.31,24550189
TONIX PHARMACEUTICALS HOLDING,0.1888,11.67,0.1883,0.202,0.185,23953606
ERICSSON ADS,8.2,0.49,8.19,8.23,8.15,23691678
MICROSOFT CORP.,427.99,2.2,419.58,429.04,418.85,23458889
22ND CENTURY GROUP INC,0.1085,20.29,0.0885,0.1085,0.082,22819494
AGNC INVESTMENT,9.64,11.13,9.76,9.76,9.54,22242097
AMERICAN AIRLINES GROUP INC.,14.64,11.88,14.79,15.01,14.6,21625342
TILRAY BRANDS INC.,1.36,14.23,1.41,1.42,1.35,21482620
JETBLUE AIRWAYS,5.91,13.43,6.0,6.04,5.78,20625882
ALPHABET INC. CLASS A,169.12,0.88,167.63,169.82,167.58,20486720
GRAB HOLDINGS LTD.,5.15,0.19,5.14,5.31,5.14,20366457
MICRON TECHNOLOGY INC.,101.8,12.57,104.0,104.72,100.31,19275679
COMCAST CORP.,42.64,11.3,43.0,43.26,42.44,18392625
CANAAN INC. ADS,1.8,113.46,1.91,1.98,1.79,18227625
IRIS ENERGY LTD.,9.56,18.17,9.99,10.36,9.51,17683620
WALGREENS BOOTS ALLIANCE INC.,8.73,13.64,8.95,8.97,8.65,17438130
AMGEN INC.,280.01,14.76,264.22,280.34,257.8,17010332
IQIYI INC. ADS,1.99,14.33,2.11,2.11,1.97,16677628
ROBINHOOD MARKETS INC.,36.42,13.78,37.05,37.91,36.15,16612119
INTUITIVE MACHINES INC.,14.06,14.22,14.42,15.67,13.82,16358861
BROADCOM INC.,164.74,10.05,164.6,166.37,162.69,16308772
CROWN ELECTROKINETICS,0.308,127.19,0.455,0.47,0.28,16136858
APPLIED DIGITAL,9.74,18.8,10.56,10.68,9.56,16050855
PELOTON INTERACTIVE INC.,9.65,0.73,9.43,10.1,9.42,15825712
LEXINFINTECH HOLDINGS,4.27,25.59,3.63,4.36,3.33,15639982
ALPHABET INC. CLASS C,170.62,0.7,169.49,171.49,169.43,14937478
